"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47302,3,0,1,4,1,0,90,70,93.3333333333333,0.821428571428571,0.642857142857143,0.392857142857143,0.285714285714286,2
47303,3,0,1,4,1,1,91.4285714285714,62.8571428571429,97.1428571428571,1.6,2.6,0.8,0.466666666666667,2
47304,3,0,1,4,1,2,96.078431372549,86.2745098039216,100,1.65,4.45,0.4,0.45,2
47305,3,0,1,4,1,1,100,92,100,1.85106382978723,0.968085106382979,0.138297872340426,0.0531914893617021,2
47306,3,0,1,4,1,3,100,86.6666666666667,100,0.043010752688172,0.946236559139785,0.10752688172043,0.0537634408602151,2
47307,2,0,2,4,1,1,83.3333333333333,100,83.3333333333333,0.285714285714286,1.78571428571429,0.428571428571429,0,1
47308,3,0,3,4,1,6,92.3076923076923,88.4615384615385,92.3076923076923,0.689655172413793,1.64655172413793,0.163793103448276,0.0431034482758621,1
47309,3,0,2,4,1,2,100,100,100,0.707692307692308,1.58461538461538,0.153846153846154,0.0307692307692308,1
47310,3,0,2,4,1,1,100,100,100,0.692307692307692,1.68131868131868,0.241758241758242,0.0549450549450549,1
47311,3,0,2,4,1,3,90.4761904761905,80.9523809523809,96.8253968253968,0.6,1.31851851851852,0.266666666666667,0.177777777777778,1
47312,3,0,0,4,1,0,87.5,71.875,96.875,0.428571428571429,1.77142857142857,0.428571428571429,0.342857142857143,2
47313,3,0,1,4,1,0,94.8717948717949,76.9230769230769,100,1.3,2.03333333333333,0.333333333333333,0.166666666666667,2
47314,3,0,3,4,1,3,87.5,100,87.5,0.032,1.224,0.088,0.064,1
47315,3,0,3,4,1,1,87.5,91.6666666666667,87.5,11.8,0.666666666666667,0.333333333333333,0.133333333333333,1
47316,3,0,1,4,1,0,100,100,100,0.153846153846154,2.07692307692308,0.615384615384615,0.230769230769231,2
47317,2,0,1,4,1,0,100,100,100,1,3.33333333333333,0.222222222222222,0,2
47318,2,0,1,4,1,1,86.268032209008,86.485919736114,94.0033444054856,1.57142857142857,2.21428571428571,0.0714285714285714,0,2
47319,2,0,1,4,1,1,86.268032209008,86.485919736114,94.0033444054856,1.28571428571429,3.14285714285714,0.142857142857143,0.142857142857143,2
47320,2,0,1,4,1,2,100,50,100,1.29166666666667,1.58333333333333,0.25,0.0833333333333333,1
47321,3,0,3,3,1,0,86.268032209008,86.485919736114,94.0033444054856,0.192307692307692,2,0.384615384615385,0.0384615384615385,1
47322,3,0,3,3,1,0,86.268032209008,86.485919736114,94.0033444054856,0.310344827586207,1.41379310344828,0.448275862068966,0.0689655172413793,1
47323,2,0,1,4,1,1,100,100,100,0.735294117647059,1.73529411764706,0.235294117647059,0.0294117647058824,2
47324,2,0,1,4,1,0,100,100,100,0.967741935483871,1.74193548387097,0.225806451612903,0.032258064516129,2
47325,3,0,1,4,1,1,100,100,100,1.07142857142857,1.67857142857143,0.285714285714286,0.107142857142857,2
47326,3,0,1,4,1,1,86.268032209008,86.485919736114,94.0033444054856,0.857142857142857,2.38095238095238,0.428571428571429,0.0952380952380952,2
47327,3,0,2,4,1,4,100,100,100,0.647058823529412,1.3921568627451,0.294117647058824,0.0588235294117647,1
47328,3,0,1,4,1,5,90,90,90,0.91578947368421,1.66315789473684,0.273684210526316,0.0526315789473684,2
47329,2,0,2,4,1,3,100,100,100,0.650793650793651,0.904761904761905,0.158730158730159,0.0476190476190476,1
47330,3,0,3,3,1,0,100,100,100,1.28571428571429,1.85714285714286,0.257142857142857,0.0571428571428571,1
47331,3,0,3,3,1,1,86.268032209008,86.485919736114,94.0033444054856,1,1.51351351351351,0.378378378378378,0.0540540540540541,1
47332,3,0,3,3,1,7,100,83.3333333333333,100,0.109375,1.6171875,0.125,0.0390625,1
47333,3,0,2,3,1,2,100,72.7272727272727,90.9090909090909,0.5625,1.09375,0.21875,0.03125,1
47334,1,1,1,4,1,1,50,100,100,0.52,1.24,0.1,0.08,3
47335,1,0,1,3,1,1,100,100,100,0.736842105263158,2.94736842105263,0.368421052631579,0,1
47336,1,0,1,3,1,0,100,100,100,0.675,1.775,0.175,0,1
47337,1,0,2,4,1,1,100,100,100,0.837837837837838,1.7027027027027,0.162162162162162,0.0540540540540541,1
47338,1,1,2,4,1,3,85.7142857142857,100,100,0.466292134831461,0.966292134831461,0.247191011235955,0.101123595505618,1
