"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40253,21,3,0,1,2,0,50,100,100,0.538461538461538,0,0.102564102564103,0.153846153846154,0.0512820512820513,1
40254,17,3,0,1,0,0,50,100,100,0.566666666666667,0,0.1,0.2,0.0333333333333333,1
40255,10,3,0,0,2,1,50,100,100,0.454545454545455,0,0.0909090909090909,0.363636363636364,0.0909090909090909,1
40256,24,3,0,1,2,0,100,100,100,0.585365853658537,0,0.682926829268293,0.195121951219512,0,1
40257,21,3,0,0,2,0,100,100,100,1.05,0,1.85,0.45,0.15,1
40258,41,3,0,0,3,0,100,100,100,0.554054054054054,0,1.04054054054054,0.216216216216216,0.0675675675675676,1
40259,14,3,0,1,3,1,81.9044873063313,91.0130610644602,82.8406469895976,0.518518518518518,0,1.37037037037037,0.185185185185185,0.037037037037037,1
40260,23,3,0,1,2,0,81.9044873063313,91.0130610644602,82.8406469895976,0.58974358974359,0,1.33333333333333,0.179487179487179,0.0256410256410256,1
40261,19,3,0,1,2,0,100,100,100,0.575757575757576,0,0.0909090909090909,0.181818181818182,0.0606060606060606,1
40262,28,3,0,0,2,0,100,100,100,0.571428571428571,0,0.0408163265306122,0.142857142857143,0,1
40263,28,3,0,0,2,0,33.3333333333333,100,100,0.608695652173913,0,0.108695652173913,0.195652173913043,0.0217391304347826,1
40264,28,3,0,1,0,1,50,100,100,0.5,0,0.0892857142857143,0.160714285714286,0.0178571428571429,1
40265,11,3,0,1,0,0,50,100,100,0.5,0,0.363636363636364,0.318181818181818,0,1
40266,237,3,1,2,4,1,70,70,60,0.9375,0.01171875,1.046875,0.1953125,0.02734375,3
40267,31,3,0,1,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.418918918918919,0,1.08108108108108,0.148648648648649,0.027027027027027,1
40268,43,3,0,0,4,2,100,100,100,0.623188405797101,0,1.47826086956522,0.27536231884058,0.101449275362319,1
40269,22,3,0,0,4,0,100,100,100,0.666666666666667,0,1.51515151515152,0.212121212121212,0.0606060606060606,1
40270,8,3,0,0,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.666666666666667,0,2.75,0.5,0.0833333333333333,2
40271,34,3,0,0,4,1,100,100,100,0.641509433962264,0,1.47169811320755,0.245283018867925,0.0188679245283019,1
40272,27,3,0,0,4,0,100,100,100,0.528301886792453,0.0188679245283019,0.735849056603774,0.169811320754717,0.0377358490566038,1
40273,26,3,0,0,3,1,81.9044873063313,91.0130610644602,82.8406469895976,0.702702702702703,0,0.702702702702703,0.189189189189189,0.0540540540540541,1
40274,22,3,0,1,3,1,81.9044873063313,91.0130610644602,82.8406469895976,0.647058823529412,0,0.882352941176471,0.264705882352941,0,1
40275,19,3,0,0,3,0,81.9044873063313,91.0130610644602,82.8406469895976,0.452380952380952,0,0.523809523809524,0.166666666666667,0.0476190476190476,1
40276,46,3,0,1,0,0,100,100,100,0.582278481012658,0,0.0379746835443038,0.151898734177215,0.0253164556962025,2
40277,3,3,0,2,2,0,100,100,100,0.075,0,0,0.1,0.025,1
40280,33,2,0,1,0,0,81.9044873063313,91.0130610644602,82.8406469895976,1.52173913043478,0.0869565217391304,1.56521739130435,0.217391304347826,0.0434782608695652,2
40281,15,2,0,1,3,1,100,100,100,1,0.0625,2.125,0.3125,0,1
40282,34,3,0,1,3,0,100,100,100,1.36,0,1.4,0.2,0.04,1
40283,18,3,0,1,3,0,100,100,100,1.1875,0.0625,2.5625,0.3125,0,1
40284,40,3,0,1,4,0,100,100,100,2.15789473684211,0.0526315789473684,1.94736842105263,0.263157894736842,0.0526315789473684,1
40285,1,3,0,1,4,0,100,100,100,0.0555555555555556,0,1.61111111111111,0.277777777777778,0,1
40286,19,3,0,1,4,1,81.9044873063313,91.0130610644602,82.8406469895976,0.826086956521739,0,1.39130434782609,0.217391304347826,0.0434782608695652,1
40287,17,3,0,1,4,1,81.9044873063313,91.0130610644602,82.8406469895976,0.894736842105263,0,1.68421052631579,0.263157894736842,0,1
40288,40,3,0,1,4,0,100,50,100,1.78260869565217,0.0434782608695652,1.39130434782609,0.217391304347826,0.0434782608695652,1
40289,12,3,0,1,4,1,100,50,100,0.857142857142857,0,2.28571428571429,0.357142857142857,0.0714285714285714,1
40290,13,3,0,1,4,0,100,66.6666666666667,100,0.722222222222222,0,1.61111111111111,0.277777777777778,0,1
40291,42,3,0,1,4,1,100,66.6666666666667,100,2.8,0,1.93333333333333,0.333333333333333,0.0666666666666667,1
40292,1,2,0,1,4,0,100,66.6666666666667,100,0.05,0,1.4,0.25,0,1
40293,14,3,0,1,3,0,100,100,100,0.833333333333333,0.0555555555555556,1.72222222222222,0.277777777777778,0.0555555555555556,1
40294,9,3,0,1,3,0,100,100,100,0.6,0,1.73333333333333,0.333333333333333,0,1
40295,37,3,0,0,4,0,100,100,100,2.3125,0,1.75,0.3125,0.0625,1
40297,12,3,0,1,4,0,100,100,100,0.666666666666667,0,1.72222222222222,0.277777777777778,0.0555555555555556,1
40298,41,3,0,1,4,0,60,60,60,2.625,0.0625,2.0625,0.3125,0,1
40299,46,3,0,1,4,0,60,60,60,2.42105263157895,0,2.05263157894737,0.263157894736842,0.0526315789473684,1
40300,5,2,0,2,3,1,100,100,75,0.978260869565217,0.869565217391304,0.956521739130435,0.282608695652174,0.0217391304347826,1
40301,2,2,1,3,2,2,100,100,100,1.05263157894737,1,1.21052631578947,0.342105263157895,0.105263157894737,3
40302,0,3,0,3,4,1,100,100,100,0.572164948453608,0.572164948453608,0.804123711340206,0.27319587628866,0.0515463917525773,1
40303,1,3,0,1,3,0,100,100,66.6666666666667,0.717948717948718,0.692307692307692,1.61538461538462,0.205128205128205,0.0512820512820513,1
40304,0,2,0,1,4,2,100,80,80,0.829268292682927,0.829268292682927,1.48780487804878,0.268292682926829,0.0731707317073171,1
40305,0,2,0,1,4,0,100,80,80,0.704545454545455,0.704545454545455,1.5,0.204545454545455,0.0227272727272727,1
40306,0,2,0,1,3,1,100,83.3333333333333,83.3333333333333,0.85,0.85,1.8,0.225,0,1
40307,0,2,0,2,3,0,100,66.6666666666667,100,0.653061224489796,0.653061224489796,1.3469387755102,0.163265306122449,0.0204081632653061,1
40308,0,3,0,2,3,1,100,66.6666666666667,100,0.727272727272727,0.727272727272727,1.36363636363636,0.181818181818182,0.0454545454545455,1
40309,0,2,0,2,4,0,100,50,100,1.3695652173913,1.3695652173913,1.34782608695652,0.173913043478261,0.0217391304347826,1
40310,0,2,0,2,4,0,100,100,100,0.897435897435897,0.897435897435897,1.66666666666667,0.230769230769231,0.0256410256410256,1
40311,0,3,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.825,0.825,1.65,0.2,0.025,2
40312,0,3,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.837837837837838,0.837837837837838,1.62162162162162,0.216216216216216,0.0540540540540541,2
40313,0,2,0,2,0,1,81.9044873063313,91.0130610644602,82.8406469895976,0.634615384615385,0.634615384615385,1.19230769230769,0.153846153846154,0.0192307692307692,2
40314,2,2,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.72,0.68,1.4,0.18,0,2
40315,0,2,1,2,0,1,81.9044873063313,91.0130610644602,82.8406469895976,0.75,0.75,1.47916666666667,0.1875,0.0416666666666667,2
40316,1,2,0,3,0,0,100,100,100,0.807692307692308,0.788461538461538,1.05769230769231,0.288461538461538,0.0576923076923077,2
40317,0,3,0,1,4,0,100,100,100,0.821428571428571,0.821428571428571,1.03571428571429,0.321428571428571,0.0714285714285714,1
40318,0,3,0,1,4,0,81.9044873063313,91.0130610644602,82.8406469895976,1.1,1.1,1.3,0.275,0.1,1
