"ID_MGN","Movilidad_RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
46384,0,3,0,0,4,1,1,100,100,100,0.697674418604651,0,1.16279069767442,0.27906976744186,0,1
46385,0,3,0,0,4,1,0,100,100,100,0.575757575757576,0,1.36363636363636,0.242424242424242,0,1
46386,0,3,0,3,4,1,5,100,80,100,0.374647887323944,0.180281690140845,0.836619718309859,0.194366197183099,0.028169014084507,1
46387,0,3,0,3,4,1,4,91.6666666666667,91.6666666666667,100,0.53,0,1.03,0.236666666666667,0,1
46388,0,3,0,2,4,1,1,100,100,100,0.25,0,4.5,2.5,0,1
46390,0,3,0,3,4,1,0,100,100,100,0.727272727272727,0.714285714285714,1.11688311688312,0.181818181818182,0.038961038961039,1
46391,0,3,0,2,4,1,0,100,100,100,1.41935483870968,1.41935483870968,1.48387096774194,0.290322580645161,0.0645161290322581,1
46392,0,3,0,2,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.67741935483871,0.67741935483871,1.25806451612903,0.225806451612903,0.0645161290322581,1
46393,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.65625,0.625,1.375,0.21875,0.0625,1
46394,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.547619047619048,0.547619047619048,1.35714285714286,0.166666666666667,0.0476190476190476,1
46395,0,1,0,2,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.666666666666667,0.666666666666667,1.33333333333333,0.151515151515152,0.0606060606060606,1
46396,0,3,0,3,4,1,2,100,100,100,0.722222222222222,0,1.10493827160494,0.209876543209877,0.0123456790123457,1
46397,0,3,0,0,4,1,0,100,100,100,1.23076923076923,0,2.53846153846154,0.769230769230769,0.0769230769230769,1
46398,1,3,0,1,4,1,1,100,91.6666666666667,100,0.686567164179104,0,1.37313432835821,0.298507462686567,0.0746268656716418,1
46399,0,3,0,2,4,1,1,100,85.7142857142857,100,0.75,0,1.64285714285714,0.357142857142857,0.0357142857142857,1
46400,0,3,0,2,4,1,0,100,100,100,0.65,0,2.25,0.2,0,1
46401,0,3,0,3,4,1,0,100,100,100,0.588235294117647,0,1.30882352941176,0.235294117647059,0,1
46402,0,3,0,3,3,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.619047619047619,0,1.0952380952381,0.30952380952381,0,1
46403,0,3,0,2,4,1,0,100,100,100,0.68,0,1.17,0.23,0,1
46404,0,3,0,2,4,1,0,100,100,100,0.746268656716418,0,1.25373134328358,0.313432835820896,0,1
46405,0,3,0,2,4,1,0,100,100,66.6666666666667,1.02222222222222,0,1.28888888888889,0.311111111111111,0,1
46406,0,3,0,2,4,1,2,100,100,75,0.72972972972973,0,1.86486486486486,0.27027027027027,0,1
46407,0,3,0,2,4,1,0,100,83.3333333333333,83.3333333333333,0.641025641025641,0,1.33333333333333,0.102564102564103,0,1
46408,0,3,0,3,4,1,0,100,87.5,100,0.603448275862069,0,1.31034482758621,0.241379310344828,0,1
46409,0,2,0,3,4,1,0,83.3333333333333,100,100,0.625,0,1.20833333333333,0.458333333333333,0,1
46410,0,3,0,2,4,1,0,100,100,100,0.529411764705882,0,1.05882352941176,0.205882352941176,0,1
46411,0,3,0,2,4,1,0,100,100,100,0.5,0,1.72727272727273,0.363636363636364,0,1
46412,0,3,0,2,0,1,0,100,100,100,1.1875,0,2.0625,0.4375,0,1
46413,0,3,1,3,4,1,5,100,85.7142857142857,100,0.250681198910082,0,0.544959128065395,0.138964577656676,0.00817438692098093,2
46414,0,3,0,2,4,1,2,85.7142857142857,85.7142857142857,100,0.716216216216216,0.716216216216216,1.18918918918919,0.202702702702703,0.0540540540540541,1
46415,0,3,0,2,4,1,0,85.7142857142857,85.7142857142857,100,0.761904761904762,0.761904761904762,1.3968253968254,0.19047619047619,0.0952380952380952,1
46416,0,3,0,2,4,1,1,100,100,100,0.613333333333333,0.613333333333333,1.32,0.16,0.0533333333333333,1
46417,0,1,0,2,4,1,1,100,100,100,1.25352112676056,1.25352112676056,1.43661971830986,0.169014084507042,0.028169014084507,1
46418,0,1,0,2,4,1,0,100,100,100,0.735294117647059,0.720588235294118,1.32352941176471,0.264705882352941,0.0294117647058824,1
46419,0,1,0,2,4,1,0,100,100,100,0.709677419354839,0.709677419354839,1.74193548387097,0.258064516129032,0,1
46420,0,3,0,2,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.793103448275862,0.793103448275862,1.68965517241379,0.241379310344828,0,1
46421,0,1,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.647058823529412,0.588235294117647,1.58823529411765,0.205882352941176,0.0294117647058824,1
46422,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.461538461538462,0,2.30769230769231,0.307692307692308,0,1
46423,0,3,0,2,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.695652173913043,0,1.56521739130435,0.304347826086957,0,1
46424,0,3,0,3,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.574468085106383,0,1.29787234042553,0.234042553191489,0,1
46425,0,3,0,1,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.462686567164179,0,0.970149253731343,0.17910447761194,0,1
46426,0,3,0,3,4,1,2,71.4285714285714,92.8571428571429,85.7142857142857,0.555555555555556,0,1.22222222222222,0.222222222222222,0,1
46427,0,3,0,3,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.672727272727273,0,0.818181818181818,0.163636363636364,0,1
46428,0,3,0,3,3,1,1,100,100,100,1.825,0,1.6,0.2,0,1
46429,0,3,0,3,4,1,0,100,100,100,0.447368421052632,0,1.42105263157895,0.0526315789473684,0,1
46430,0,3,0,2,4,1,0,100,100,100,0.818181818181818,0,4.36363636363636,0.181818181818182,0,1
46431,0,3,0,2,4,1,0,100,100,100,0.782608695652174,0,1.43478260869565,0.173913043478261,0,1
46432,0,3,0,2,4,1,0,100,88.8888888888889,88.8888888888889,0.303030303030303,0,1.66666666666667,0.393939393939394,0,1
46433,0,3,0,2,4,1,0,100,75,75,0.884615384615385,0,0.730769230769231,0.230769230769231,0,1
46434,0,3,0,2,4,1,0,100,80,80,0.638297872340426,0,1.46808510638298,0.212765957446809,0,1
46435,0,3,0,1,3,1,1,86.6666666666667,80,100,0.914285714285714,0,0.857142857142857,0.114285714285714,0,1
46436,2,3,0,3,4,1,4,91.304347826087,86.9565217391304,100,1.1264367816092,0,1.17241379310345,0.275862068965517,0,1
46437,1,3,0,3,4,1,1,83.3333333333333,100,83.3333333333333,0.0217391304347826,0,1.78260869565217,0.282608695652174,0,1
46438,0,3,0,3,4,1,1,63.6363636363636,90.9090909090909,81.8181818181818,0.5,0,1.77777777777778,0.236111111111111,0,1
46439,1,3,0,3,4,1,3,77.2727272727273,81.8181818181818,95.4545454545455,0.202797202797203,0,0.608391608391608,0.122377622377622,0,1
46440,0,2,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.425287356321839,0,0.71264367816092,0.149425287356322,0,1
46441,0,2,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.455555555555556,0,0.766666666666667,0.177777777777778,0,1
46442,0,2,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.466666666666667,0,1.66666666666667,0.366666666666667,0,1
46443,0,2,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.13953488372093,0,0.779069767441861,0.197674418604651,0,1
46444,0,2,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.432432432432432,0,0.864864864864865,0.135135135135135,0,1
46446,0,3,0,3,4,1,2,85.7142857142857,100,100,0.519480519480519,0,1.49350649350649,0.311688311688312,0,1
46447,0,3,0,1,4,1,1,100,87.5,100,0.5,0,1.75,0.1875,0,1
46448,0,3,0,2,4,1,1,100,88.8888888888889,100,0.939393939393939,0,0.515151515151515,0.121212121212121,0,1
46449,0,3,0,2,4,1,2,100,100,50,0.796610169491525,0,1.61016949152542,0.186440677966102,0,1
46450,0,3,0,2,4,1,0,100,100,100,1.5625,0,2.8125,0.375,0,1
46451,0,3,0,2,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.782608695652174,0,2.21739130434783,0.304347826086957,0,1
46452,0,3,0,2,4,1,0,50,100,100,0.767441860465116,0,1.51162790697674,0.209302325581395,0,1
46453,0,3,0,2,4,1,0,66.6666666666667,100,100,0.529411764705882,0,1.19117647058824,0.191176470588235,0,1
46454,0,3,0,2,4,1,1,80,100,100,1.05405405405405,0,2.27027027027027,0.405405405405405,0,1
46455,0,3,0,2,4,1,0,100,100,100,0.705882352941177,0,1.32352941176471,0.147058823529412,0,1
46456,0,3,0,2,4,1,0,88.8888888888889,88.8888888888889,100,0.6,0,1.46,0.26,0,1
46457,1,3,0,0,4,1,0,100,88.8888888888889,100,0.75609756097561,0,1.78048780487805,0.292682926829268,0,1
46458,1,3,0,3,4,1,2,100,91.6666666666667,100,0.964285714285714,0,2.28571428571429,0.321428571428571,0,1
46459,1,3,0,3,4,1,1,100,85.7142857142857,100,1.45454545454545,0,1.45454545454545,0.818181818181818,0,1
