"ID_MGN","inundaciones","RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Electricidad_medidoresIntel_edific","Electricidad_postes_edific","Electricidad_transform_edific","cluster"
26959,0,1,2,1,2,4,1,2,100,88.8888888888889,100,0.956521739130435,0.565217391304348,0,2
27413,0,0,2,2,3,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,0.291666666666667,0.75,0.125,2
27510,0,0,2,0,2,4,1,2,100,100,100,1.3,0.15,0,2
27511,0,1,3,0,2,4,1,1,100,100,100,0.888888888888889,0.148148148148148,0,2
27516,0,0,3,1,2,4,1,0,50,100,100,0,0.875,0,2
27517,0,0,1,1,2,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.8695652173913,0.217391304347826,0,2
27518,0,0,1,1,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,2.25806451612903,0.225806451612903,0,2
27519,0,0,3,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.55882352941176,0.323529411764706,0,2
26638,0,0,3,0,1,4,1,0,100,83.3333333333333,100,6,2.25,0.5,2
26641,0,0,3,0,0,3,1,0,89.4736842105263,84.2105263157895,94.7368421052632,3.4,0.6,0.2,2
26643,0,1,3,0,0,4,1,0,89.6551724137931,72.4137931034483,89.6551724137931,4.83333333333333,0.333333333333333,0.166666666666667,2
26647,0,1,3,0,2,4,1,0,66.6666666666667,64.1025641025641,71.7948717948718,2.2,0.32,0.08,2
26650,0,0,2,0,1,4,1,0,100,83.3333333333333,100,3.66666666666667,0.533333333333333,0.0666666666666667,2
26652,0,0,2,0,1,0,1,0,100,100,100,4.8,1,0.2,2
26655,0,0,3,0,0,0,1,0,69.2307692307692,61.5384615384615,76.9230769230769,1.07142857142857,0.214285714285714,0,2
26659,0,0,3,0,1,4,1,0,100,100,100,2.43478260869565,0.304347826086957,0,2
26660,0,0,3,0,1,4,1,0,100,80,100,1.19047619047619,0.214285714285714,0.0714285714285714,2
26661,0,0,3,0,1,4,1,0,94.1176470588235,82.3529411764706,94.1176470588235,1.29787234042553,0.234042553191489,0.0425531914893617,2
26663,0,0,3,0,0,4,1,0,100,100,100,2.42105263157895,0.368421052631579,0.210526315789474,2
26664,0,0,3,0,1,4,1,0,100,100,100,1.675,0.25,0.075,2
26697,0,0,3,0,1,4,1,0,44.4444444444444,44.4444444444444,55.5555555555556,5.5,2.5,0,2
26705,0,0,3,0,1,4,1,0,100,66.6666666666667,100,1.60810810810811,0.175675675675676,0.0675675675675676,2
26707,0,0,2,0,2,0,1,0,100,100,100,0.730769230769231,0.269230769230769,0.0384615384615385,2
26708,0,0,3,0,2,4,1,0,50,100,50,2.4,0.6,0.3,2
26709,0,0,3,0,1,4,1,0,50,100,50,1.9047619047619,0.428571428571429,0.142857142857143,2
26713,0,0,3,0,1,4,1,0,92.3076923076923,92.3076923076923,92.3076923076923,2.125,0.5625,0.0625,2
26717,0,0,3,0,2,4,1,0,94.7368421052632,94.7368421052632,100,1.51020408163265,0.346938775510204,0.0816326530612245,2
26720,0,0,3,0,1,4,1,0,87.5,87.5,87.5,2.77777777777778,1.11111111111111,0.555555555555556,2
26731,0,2,3,0,0,2,1,0,62.5,54.6875,64.0625,2.61764705882353,0.294117647058824,0.176470588235294,2
26732,0,2,3,0,0,0,1,0,53.5714285714286,46.4285714285714,57.1428571428571,5.75,0.5,0.0833333333333333,2
26742,0,0,1,0,3,0,1,0,100,100,100,1.5,0.833333333333333,0.166666666666667,2
26745,0,3,3,0,1,4,1,0,48.4848484848485,48.4848484848485,54.5454545454545,3.71428571428571,0.904761904761905,0.333333333333333,2
26753,0,0,3,0,1,4,1,0,100,100,50,1.13461538461538,0.173076923076923,0.0576923076923077,2
26755,0,0,2,0,2,1,1,0,100,100,50,1.07692307692308,0.192307692307692,0.0384615384615385,2
26756,0,0,1,0,2,1,1,0,33.3333333333333,66.6666666666667,66.6666666666667,0.837837837837838,0.135135135135135,0.027027027027027,2
26757,0,0,3,0,2,3,1,0,33.3333333333333,66.6666666666667,66.6666666666667,1.32558139534884,0.209302325581395,0.0465116279069767,2
26759,0,0,2,0,2,4,1,0,100,100,100,1.70588235294118,0.235294117647059,0.0588235294117647,2
